Category,Configuration,CVR_%,SafeCVR_%,C4_CVR_%,BC_top1_%,BC_top3_%,SR_policy_%,FQE_V
Constraint,All constraints,4.3,0.53,1.66,5.54,14.25,61.93,7.2099
Constraint,w/o C1,4.0,0.62,1.77,5.54,14.38,62.26,7.1897
Constraint,w/o C2,4.13,0.49,1.68,5.55,13.98,61.93,7.1884
Constraint,w/o C3,7.32,0.74,0.68,5.8,16.29,61.39,6.9379
Constraint,w/o C4,4.07,0.66,1.66,5.62,14.31,62.15,7.208
Constraint,No constraints,7.8,0.83,0.65,5.86,15.75,61.34,7.8144
Component,w/o Twin-Q,3.11,0.56,2.46,1.66,8.26,61.82,5.636
Component,w/o β-Annealing,2.97,0.48,1.75,5.62,14.46,61.56,6.6307
Component,w/o Adv-Penalty,2.45,0.28,3.06,3.91,11.22,61.96,6.8677
Component,w/o Lagrangian,6.2,0.91,0.91,6.22,16.35,61.08,7.3504
Stage,Stage 1 only (no filter),4.3,,1.66,5.54,14.25,61.93,7.2099
Stage,Stage 1 + Stage 2 Filter (full),4.3,0.53,0.0,5.54,14.25,61.93,7.2099
Stage,"Unconstrained IQL (α=0, lower bound)",7.8,0.83,0.65,5.86,15.75,61.34,7.8144
