epoch,val_bellman_loss,total_loss,bellman_loss,cql_loss
1,11.315647414574256,11.383356014887491,11.222389475504558,3.219331101576487
2,11.309277997530424,11.506438620885213,11.345500222841899,3.2187679330507915
3,11.30201939861591,11.369052529335022,11.208123183250427,3.2185876886049907
4,11.298098908644457,11.816144100824992,11.655238358179728,3.2181153496106467
5,11.296573951134315,11.421977853775024,11.261094721158345,3.2176625808080037
6,11.287561430124136,11.484196694691976,11.323320770263672,3.217518353462219
7,11.28797426018348,11.350547854105631,11.189673709869385,3.217481764157613
8,11.277327557490421,11.471919441223145,11.311062200864155,3.217144425710042
9,11.276368004432092,11.404132000605266,11.243277716636658,3.2170853773752848
10,11.280989023061899,11.588466318448384,11.427642726898194,3.2164724508921307
11,11.263280767000639,11.405039230982462,11.244207390149434,3.216638894875844
12,11.27216223848783,11.451478179295858,11.290645615259807,3.2166513919830324
13,11.247912319476788,11.330506451924641,11.16966118812561,3.2169052918752032
14,11.250698138897235,11.384206128120422,11.223349865277608,3.2171249071757
15,11.264123276930588,11.302272717157999,11.141427938143412,3.2168949206670123
16,11.224947377131535,11.434870862960816,11.27399861017863,3.2174455285072328
17,11.239792151817909,11.356391207377117,11.195492736498515,3.217969846725464
18,11.190828454237717,11.27566606203715,11.114750202496847,3.2183167894681293
19,11.200632737966684,11.500905108451843,11.339930136998495,3.2194984634717305
20,11.228721574636607,11.232962107658386,11.071921745936075,3.2208086291948956
21,11.156502706674429,11.307449754079183,11.146335395177205,3.222286951541901
22,11.184110940786509,11.295235172907512,11.13399297396342,3.2248442729314166
23,11.106795873788688,11.32810672124227,11.166787393887837,3.2263859629631044
24,11.128466978806715,11.3173282066981,11.155943250656128,3.227699621518453
25,11.169985086294322,11.412157503763835,11.250625801086425,3.230634506543477
26,11.063932371873122,11.222715353965759,11.061062908172607,3.2330491185188293
27,11.11069969881498,11.064685736099879,10.902912673354148,3.235461457570394
28,11.006082686204177,11.127035442988078,10.965089424451191,3.2389193137486774
29,11.036521481440618,11.32387707233429,11.161887001991271,3.239801263809204
30,11.08307329911452,11.298069071769714,11.135892248153686,3.243536369005839
31,10.963105287405162,11.293782099088032,11.131508803367614,3.2454658428827923
32,11.014956121591421,11.00663978656133,10.84416348139445,3.249525705973307
33,10.913098852891189,11.212070616086324,11.049470527966816,3.2520007252693177
34,10.944165645305928,10.998896280924479,10.836142484347025,3.255076293150584
35,11.00461910541241,11.190620589256287,11.027695107460023,3.2585095127423602
36,10.89620957007775,11.013200902938843,10.850132171312968,3.261375884215037
37,10.951482297457181,11.137288085619609,10.974115498860677,3.263452235857646
38,10.869302717942459,11.20081828435262,11.0374613682429,3.267138608296712
39,10.915080793527457,11.159133664766948,10.995616451899211,3.270343820254008
40,11.010114682124211,11.13323753674825,10.969569166501364,3.2733672777811686
41,10.90271352327787,11.03826237519582,10.874485484759013,3.2755378524462384
42,11.015310764019306,11.085262417793274,10.921266341209412,3.2799212535222373
43,10.920167238675631,11.318220361073811,11.154012894630432,3.2841496507326764
44,11.01163194157527,11.185089127222698,11.020676843325298,3.288244879245758
45,11.16847033574031,11.17534154256185,11.010830918947855,3.290213127930959
46,11.037899871826172,11.38081301053365,11.216055154800415,3.2951563636461896
47,11.164907475398136,11.089863590399425,10.92506357828776,3.2959993958473204
48,11.077579581627479,11.22227365175883,11.057141129175822,3.3026508649190265
49,11.209237356332633,11.347846388816833,11.182634282112122,3.304241991043091
50,11.426366764948918,11.314147710800171,11.148637930552164,3.310194492340088
51,11.281827526385968,12.05166289806366,11.885967755317688,3.313904313246409
52,11.474672271728515,11.570821356773376,11.404841574033101,3.3195969422658282
53,11.376035325270433,11.615135129292806,11.449017906188965,3.3223451654116314
54,11.546235891488882,11.521038635571797,11.354650402069092,3.327765985329946
55,11.801094442514273,11.805553738276164,11.638936320940653,3.3323482036590577
56,11.658090064415564,11.797397224108378,11.630576546986898,3.336414074897766
57,11.88492158801739,11.704992979764938,11.538069727023442,3.3384648601214093
58,11.803143657977765,12.124688450495402,11.9574431737264,3.344907295703888
59,12.00196458200308,12.523772152264913,12.356350517272949,3.3484344442685443
60,12.279541334885817,12.084050861994426,11.916393677393595,3.3531444668769836
61,12.154568246694712,12.29744486808777,12.129598482449849,3.3569261034329734
62,12.385075595562274,12.549597557385763,12.381580138206482,3.360348439216614
63,12.320093714200533,12.32717580795288,12.1588680823644,3.366154972712199
64,12.563891464233398,12.802686087290446,12.634214655558269,3.369429588317871
65,12.88596042574369,12.678264458974203,12.509680660565694,3.3716747323671976
66,12.76245829303448,13.06538770198822,12.896362034479777,3.380512483914693
67,13.056561587407039,12.81887418627739,12.649809751907984,3.3812885085741677
68,12.985612407390889,12.959832406044006,12.790583248933157,3.3849823077519736
69,13.259186673677885,13.479068700472514,13.309740424156189,3.386566162109375
70,13.61925169959435,13.198831168810527,13.029070933659872,3.3952039241790772
71,13.500332713200496,14.145209089914959,13.975376097361247,3.3966588656107586
72,13.912549022381123,13.622286224365235,13.452056765556335,3.4045880238215127
73,13.821018303504356,13.943003614743551,13.772517387072245,3.409725324312846
74,14.121948248056265,14.151615182558695,13.980892125765482,3.4144620339075726
75,14.562341196500338,14.374360171953837,14.203457522392274,3.4180525064468386
76,14.429858684833233,14.783097370465596,14.611968326568604,3.4225802540779116
77,14.808011161217323,14.835351753234864,14.663894271850586,3.4291483640670775
78,14.74159622661884,14.847019942601522,14.675176628430684,3.4368677337964377
